id,created_at,text
659412757997973504,2015-10-28 16:53:47,I'm not. https://t.co/kfir7Zy6nR
658812530920321024,2015-10-27 01:08:42,Retweet this and you'll live forever.
657603374372687872,2015-10-23 17:03:56,Thoughts and prayers don't help. You know what does help? Help.
656316116331982848,2015-10-20 03:48:50,Welcome back Canada! Nice to see you again.
656294214578237440,2015-10-20 02:21:48,"Congratulations, Canada. You now have the hottest First Couple on earth."
656238641098846209,2015-10-19 22:40:59,No matter what happens always remember: I don't care.
655360691486916608,2015-10-17 12:32:19,“It is what it is” means it’s not what it should be.
654443772646830080,2015-10-14 23:48:49,Congratulations Toronto on having a good team that plays America's sport and an awful team that plays your own.
654367019022729216,2015-10-14 18:43:49,One religion is right and the rest are wrong and you have to figure out what the right one is or you go to hell.
654129575652233217,2015-10-14 03:00:18,"I am the Lord thy God, King of the Universe, and I #FeelTheBern. #DemDebate"
654123775160545280,2015-10-14 02:37:15,"Not yours, Mike. https://t.co/I21kn43w8L"
653550371348942848,2015-10-12 12:38:45,"Today America honors a man who was wrong in many, many ways. #ColumbusDay"
653426217270378496,2015-10-12 04:25:24,And that someone is Satan. https://t.co/QAVovAmi7F
653420664624275456,2015-10-12 04:03:21,"'Twas the night before Columbus Day and all through the house,
Indigenous peoples were unaware of their own imminent, protracted genocide."
653384961282600960,2015-10-12 01:41:28,"My secretary wrote this song's lyrics and in My opinion they're worth at least $1.29, if not $1.49. https://t.co/FGFTSUUUQ6"
653081696636538880,2015-10-11 05:36:24,If you retweet this you will go to hell.
651631819440324609,2015-10-07 05:35:07,Retweeting this will change nothing.
651553894640824320,2015-10-07 00:25:28,School shootings are a small price to pay for the freedom to be killed in school shootings.
651113393525383169,2015-10-05 19:15:04,Low pay. Scanty resources. Constant disrespect. Insufficient recognition. The hallmarks of the world's noblest profession. #worldteachersday
650123507733409792,2015-10-03 01:41:37,The less you know the more you don't think you need to.
649815874279358464,2015-10-02 05:19:12,Instead of sending you all to hell I've decided it would be easier to just send hell to you.
649240439967625216,2015-09-30 15:12:37,“Kim Davis Secretly Met with the Pope.” It’s true. A thrice-divorced woman met with a 78-year-old virgin to complain about married people.
649002388943147009,2015-09-29 23:26:42,"It's the Tony-nominated ""Cry-Baby: The Musical""! Finally available on iTunes a scant 7 years after closing! 
http://t.co/H24iiG6SI6"
648952093794009089,2015-09-29 20:06:50,"People say history is written by the winners, but actually history is written by historians, and most of them are losers."
648923679749967872,2015-09-29 18:13:56,"If at first you don't succeed, blame an ethnic group."
648548305593458688,2015-09-28 17:22:20,Focus less on the tiny bit of liquid water melting on Mars and more on the catastrophic amount of liquid water melting on Earth.
647087714739707906,2015-09-24 16:38:28,Facebook is down. Please refrain from genuine human contact until the problem is resolved.
645092858714689536,2015-09-19 04:31:37,I know a guy who'd love you to pre-order this. http://t.co/vADA99Qfy3 http://t.co/4cLWpaFkpa
645065470651969536,2015-09-19 02:42:47,This is the current leading candidate for the Republican nomination for President of the United States. https://t.co/bIXvzICCaO
644322101156036608,2015-09-17 01:28:54,The Mexican border isn't nearly as insecure as Donald Trump. #GOPDebate
643912568692715520,2015-09-15 22:21:34,"Sometimes you can spend so much time looking at your phone you forget about the beauty all around you, so be sure to Google that."
643625155185381377,2015-09-15 03:19:29,Everybody stop what you're doing for a second and remember that one day you'll stop what you're doing forever.
643581398398332928,2015-09-15 00:25:37,I saw what you just did and it was disgusting.
